order_id,customer_id,order_date,order_status,completed_at
1,26,11/08/2025,Processing,""
2,13,11/26/2025,Pending,""
3,63,11/14/2025,Pending,""
4,47,12/10/2025,Delivered,12/13/2025
5,69,12/06/2025,Delivered,12/09/2025
6,55,11/05/2025,Shipped,""
7,91,11/29/2025,Pending,""
8,65,12/07/2025,Delivered,12/10/2025
9,94,11/28/2025,Delivered,12/01/2025
10,49,11/26/2025,Delivered,11/29/2025
11,22,12/03/2025,Delivered,12/06/2025
12,53,11/09/2025,Delivered,11/12/2025
13,21,12/02/2025,Delivered,12/05/2025
14,51,12/03/2025,Pending,""
15,15,11/23/2025,Pending,""
16,64,11/12/2025,Delivered,11/15/2025
17,14,12/11/2025,Shipped,""
18,18,11/06/2025,Delivered,11/09/2025
19,43,11/04/2025,Shipped,""
20,32,12/06/2025,Shipped,""
21,51,12/09/2025,Delivered,12/12/2025
22,3,11/26/2025,Pending,""
23,23,12/10/2025,Delivered,12/13/2025
24,41,12/08/2025,Delivered,12/11/2025
25,54,11/17/2025,Delivered,11/20/2025
26,97,12/07/2025,Delivered,12/10/2025
27,66,12/03/2025,Delivered,12/06/2025
28,12,11/09/2025,Delivered,11/12/2025
29,29,11/30/2025,Pending,""
30,85,12/10/2025,Pending,""
31,84,12/05/2025,Delivered,12/08/2025
32,63,11/24/2025,Pending,""
33,32,11/15/2025,Delivered,11/18/2025
34,34,12/01/2025,Delivered,12/04/2025
35,10,11/06/2025,Processing,""
36,24,11/09/2025,Delivered,11/12/2025
37,89,12/03/2025,Delivered,12/06/2025
38,24,11/02/2025,Delivered,11/05/2025
39,45,11/15/2025,Processing,""
40,93,11/03/2025,Pending,""
41,6,11/10/2025,Delivered,11/13/2025
42,29,12/02/2025,Delivered,12/05/2025
43,9,12/05/2025,Delivered,12/08/2025
44,95,12/11/2025,Delivered,12/14/2025
45,86,11/19/2025,Delivered,11/22/2025
46,71,12/03/2025,Delivered,12/06/2025
47,68,12/04/2025,Delivered,12/07/2025
48,77,11/20/2025,Delivered,11/23/2025
49,24,11/25/2025,Delivered,11/28/2025
50,85,12/06/2025,Delivered,12/09/2025
51,49,11/04/2025,Delivered,11/07/2025
52,64,11/08/2025,Delivered,11/11/2025
53,81,11/26/2025,Delivered,11/29/2025
54,86,11/16/2025,Processing,""
55,91,11/10/2025,Delivered,11/13/2025
56,28,11/26/2025,Processing,""
57,55,11/17/2025,Processing,""
58,7,11/09/2025,Delivered,11/12/2025
59,88,11/05/2025,Pending,""
60,77,12/08/2025,Delivered,12/11/2025
61,16,11/04/2025,Delivered,11/07/2025
62,42,12/01/2025,Delivered,12/04/2025
63,31,11/13/2025,Pending,""
64,63,12/08/2025,Delivered,12/11/2025
65,39,11/01/2025,Processing,""
66,48,12/02/2025,Delivered,12/05/2025
67,21,11/10/2025,Processing,""
68,52,11/26/2025,Pending,""
69,82,11/11/2025,Delivered,11/14/2025
70,40,11/20/2025,Delivered,11/23/2025
71,14,12/04/2025,Shipped,""
72,83,11/30/2025,Processing,""
73,63,11/16/2025,Shipped,""
74,42,11/08/2025,Pending,""
75,36,11/18/2025,Shipped,""
76,45,11/20/2025,Delivered,11/23/2025
77,42,11/29/2025,Shipped,""
78,23,11/28/2025,Processing,""
79,47,11/12/2025,Delivered,11/15/2025
80,78,12/03/2025,Delivered,12/06/2025
81,77,11/27/2025,Pending,""
82,84,12/07/2025,Shipped,""
83,46,11/22/2025,Delivered,11/25/2025
84,4,12/09/2025,Delivered,12/12/2025
85,53,11/07/2025,Shipped,""
86,87,12/09/2025,Processing,""
87,27,11/05/2025,Delivered,11/08/2025
88,18,12/01/2025,Delivered,12/04/2025
89,36,11/27/2025,Processing,""
90,32,11/06/2025,Delivered,11/09/2025
91,14,12/05/2025,Shipped,""
92,47,12/09/2025,Processing,""
93,71,11/05/2025,Delivered,11/08/2025
94,49,11/26/2025,Delivered,11/29/2025
95,96,11/15/2025,Delivered,11/18/2025
96,81,11/17/2025,Shipped,""
97,50,12/07/2025,Delivered,12/10/2025
