order_item_id,order_id,product_id,quantity,item_status,delivered_at
1,13,62,3,Delivered,12/05/2025
2,13,73,9,Delivered,12/05/2025
3,19,96,8,Shipped,""
4,71,80,10,Shipped,""
5,124,67,5,Shipped,""
6,286,24,4,Delivered,11/05/2025
7,15,7,8,Pending,""
8,47,79,9,Delivered,12/07/2025
9,63,9,5,Pending,""
10,279,5,9,Delivered,11/10/2025
11,83,9,4,Delivered,11/25/2025
12,82,47,6,Shipped,""
13,168,63,3,Delivered,11/26/2025
14,44,58,10,Delivered,12/14/2025
15,36,52,6,Delivered,11/12/2025
16,159,5,9,Delivered,11/27/2025
17,201,31,8,Delivered,12/05/2025
18,219,64,10,Delivered,11/17/2025
19,92,38,1,Processing,""
20,103,51,5,Delivered,12/17/2025
21,118,64,7,Delivered,12/08/2025
22,128,68,8,Shipped,""
23,60,32,7,Delivered,12/11/2025
24,248,86,4,Shipped,""
25,87,44,3,Delivered,11/08/2025
26,100,82,5,Delivered,12/07/2025
27,1,84,2,Processing,""
28,37,20,7,Delivered,12/06/2025
29,35,88,2,Processing,""
30,22,11,2,Pending,""
31,270,94,6,Delivered,11/19/2025
32,16,14,6,Delivered,11/15/2025
33,88,46,2,Delivered,12/04/2025
34,149,68,10,Processing,""
35,232,79,8,Delivered,11/23/2025
36,294,65,5,Pending,""
37,186,92,10,Delivered,11/29/2025
38,149,88,10,Processing,""
39,244,75,2,Shipped,""
40,108,61,4,Delivered,11/08/2025
41,299,16,9,Processing,""
42,244,35,4,Shipped,""
43,7,27,8,Pending,""
44,4,21,2,Delivered,12/13/2025
45,100,35,4,Delivered,12/07/2025
46,233,22,2,Delivered,12/09/2025
47,229,55,10,Delivered,12/03/2025
48,92,38,4,Processing,""
49,274,80,7,Delivered,12/06/2025
50,272,16,3,Shipped,""
51,250,97,9,Delivered,12/14/2025
52,97,55,6,Delivered,12/10/2025
53,126,100,8,Pending,""
54,210,63,9,Processing,""
55,9,39,3,Delivered,12/01/2025
56,145,100,2,Processing,""
57,179,44,2,Delivered,11/24/2025
58,66,50,6,Delivered,12/05/2025
59,56,57,6,Processing,""
60,166,29,3,Processing,""
61,47,87,2,Delivered,12/07/2025
62,9,98,4,Delivered,12/01/2025
63,253,89,3,Shipped,""
64,251,2,4,Pending,""
65,280,94,8,Delivered,11/22/2025
